,Does he have health probems ?,Does he have social family problems?,Is there a variation between his real qualifications and its results?,Does he have any difficulties?,Does your child avoid activities that require reading to complete?,he ?it fast/slow while reading ?,"When reading aloud, does your child repeat words, change their order, or mix up similar letters (?\ or ?\? or ?\? or p/b or f/v or k/g/jÉ) without notice?",Does he have trouble reading unknown words?,Does he face difficulty understanding what he read?,Does he reflect numbers? {Ex 81 -> 18},Does he have trouble writing numbers clearly and distinctly from letters?,Does he make misspellings in his homework?,Is he having trouble writing on the line and inside the margins?,Does he have a problem copying?,Does it confuse symbols and/or mathematical operations?,Does he have trouble comparing the relative size of integers and/or fractions?,Does he have difficulties with concepts related to time and/or money?,Is it difficult to understand the statement of calculations and solve it?,Is he having difficulties in calculating? {Facing problems in performing arithmetic operations such as addition and subtraction ...},Is he having trouble maintaining attention for more than 15 minutes?,It takes a long time to complete simple tasks?,Does he have a hard time bearing boredom or strenuous tasks?,TypeTrouble
23,No,Yeah,No,In particular article,Sometimes,Fast,Sometimes,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Sometimes,Type_dysgraphie
24,No,No,No,In all materials,Repeatedly / always,Fast,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Type_dyslexie
25,No,No,No,In all materials,Repeatedly / always,Average,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Type_dysgraphie
26,Yeah,Yeah,Yeah,In particular article,Repeatedly / always,Average,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Type_dyscalculie
27,No,Yeah,Yeah,In particular article,Sometimes,Slow,Rarely / never,Sometimes,Rarely / never,Rarely / never,Sometimes,Rarely / never,Rarely / never,Sometimes,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Rarely / never,Type_dyscalculie
28,Yeah,No,No,In particular article,Rarely / never,Average,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Concentration
29,No,Yeah,Yeah,In particular article,Sometimes,Average,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Type_dyslexie
30,Yeah,No,No,In all materials,Rarely / never,Slow,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Rarely / never,Rarely / never,Type_dyslexie
31,No,No,No,In particular article,Repeatedly / always,Slow,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Concentration
32,Yeah,Yeah,No,In all materials,Repeatedly / always,Fast,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Type_dysgraphie
33,No,No,Yeah,In particular article,Rarely / never,Slow,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Concentration
34,Yeah,Yeah,Yeah,In particular article,Sometimes,Fast,Sometimes,Sometimes,Rarely / never,Rarely / never,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Concentration
35,No,Yeah,No,In all materials,Sometimes,Fast,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / never,Sometimes,Sometimes,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Concentration
36,No,No,No,In all materials,Sometimes,Slow,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Type_dyslexie
37,No,Yeah,Yeah,In all materials,Rarely / never,Slow,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Sometimes,Rarely / never,Sometimes,Rarely / never,Type_dysgraphie
38,No,Yeah,No,In all materials,Repeatedly / always,Average,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Type_dyslexie
39,Yeah,Yeah,No,In particular article,Rarely / never,Fast,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Sometimes,Concentration
40,Yeah,Yeah,Yeah,In particular article,Repeatedly / always,Slow,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Sometimes,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Concentration
41,No,Yeah,Yeah,In particular article,Repeatedly / always,Average,Rarely / never,Sometimes,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Type_dysgraphie
42,No,No,No,In particular article,Rarely / never,Fast,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Concentration
43,No,Yeah,Yeah,In all materials,Repeatedly / always,Fast,Sometimes,Rarely / never,Sometimes,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Type_dyscalculie
44,Yeah,Yeah,Yeah,In particular article,Rarely / never,Fast,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Concentration
45,No,No,Yeah,In particular article,Rarely / never,Fast,Sometimes,Sometimes,Rarely / never,Sometimes,Sometimes,Sometimes,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Type_dyscalculie
46,No,No,Yeah,In particular article,Rarely / never,Fast,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Rarely / never,Rarely / never,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Type_dyslexie
47,No,No,Yeah,In all materials,Repeatedly / always,Fast,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Type_dyslexie
48,Yeah,Yeah,No,In particular article,Sometimes,Fast,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Concentration
49,Yeah,Yeah,No,In all materials,Sometimes,Average,Rarely / never,Sometimes,Rarely / never,Sometimes,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Type_dyscalculie
50,Yeah,Yeah,No,In particular article,Rarely / never,Slow,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Type_dysgraphie
51,Yeah,Yeah,No,In all materials,Rarely / never,Slow,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Type_dysgraphie
52,No,No,Yeah,In all materials,Rarely / never,Average,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Type_dysgraphie
53,No,Yeah,No,In all materials,Repeatedly / always,Slow,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Type_dysgraphie
54,Yeah,No,No,In all materials,Rarely / never,Slow,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Sometimes,Type_dyslexie
55,No,No,Yeah,In all materials,Sometimes,Fast,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Type_dysgraphie
56,Yeah,Yeah,No,In particular article,Rarely / never,Average,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Type_dysgraphie
57,No,No,No,In all materials,Sometimes,Slow,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Sometimes,Type_dyslexie
58,No,Yeah,Yeah,In all materials,Rarely / never,Slow,Repeatedly / always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Sometimes,Rarely / never,Sometimes,Type_dyslexie
59,No,No,No,In particular article,Rarely / never,Average,Rarely / never,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Sometimes,Rarely / never,Type_dysgraphie
60,Yeah,Yeah,Yeah,In all materials,Repeatedly / always,Slow,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Concentration
61,Yeah,No,Yeah,In all materials,Repeatedly / always,Fast,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Type_dyslexie
62,No,Yeah,Yeah,In particular article,Repeatedly / always,Average,Rarely / never,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Concentration
63,No,No,No,In all materials,Rarely / never,Average,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / never,Type_dyscalculie
64,No,Yeah,Yeah,In all materials,Rarely / never,Fast,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Concentration
65,No,Yeah,Yeah,In all materials,Repeatedly / always,Slow,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Concentration
66,No,No,Yeah,In all materials,Sometimes,Slow,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Concentration
67,No,Yeah,Yeah,In particular article,Sometimes,Slow,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Type_dyslexie
68,No,Yeah,No,In all materials,Repeatedly / always,Slow,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Type_dysgraphie
69,No,Yeah,No,In particular article,Sometimes,Fast,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Type_dyscalculie
70,No,No,Yeah,In all materials,Sometimes,Average,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Type_dyscalculie
71,No,No,Yeah,In all materials,Rarely / never,Average,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Type_dysgraphie
72,Yeah,No,No,In particular article,Rarely / never,Average,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Type_dyscalculie
73,Yeah,No,Yeah,In all materials,Rarely / never,Fast,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Type_dysgraphie
74,Yeah,Yeah,No,In particular article,Repeatedly / always,Average,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Type_dyslexie
75,No,No,No,In particular article,Repeatedly / always,Fast,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Concentration
76,No,Yeah,Yeah,In all materials,Sometimes,Slow,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Type_dysgraphie
77,No,Yeah,No,In all materials,Rarely / never,Slow,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Rarely / never,Type_dyslexie
78,No,Yeah,Yeah,In all materials,Rarely / never,Slow,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Type_dyslexie
79,Yeah,Yeah,Yeah,In particular article,Repeatedly / always,Slow,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Type_dyslexie
80,Yeah,No,Yeah,In all materials,Rarely / never,Average,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Concentration
81,Yeah,No,Yeah,In particular article,Rarely / never,Average,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Sometimes,Rarely / never,Type_dyslexie
82,No,Yeah,Yeah,In particular article,Sometimes,Slow,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Concentration
83,Yeah,Yeah,No,In particular article,Repeatedly / always,Slow,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Rarely / never,Sometimes,Type_dyslexie
